Nome,Turma,Media,Frequencia,Classificacao
Bruno Santos,9C,7.45,82.6,Bom Rendimento
Carla Oliveira,9C,8.55,91.6,Bom Rendimento
Daniel Costa,9B,8.55,82.1,Bom Rendimento
Eduarda Pereira,9B,9.22,85.3,Bom Rendimento
Felipe Martins,9B,8.1,82.5,Bom Rendimento
Henrique Rocha,9B,8.43,92.3,Bom Rendimento
Isabela Lima,9A,9.0,85.9,Bom Rendimento
João Ferreira,9A,8.7,87.8,Bom Rendimento
Leonardo Ribeiro,9B,8.57,81.4,Bom Rendimento
Olívia Mendes,9B,8.38,89.5,Bom Rendimento
Queila Barbosa,9B,8.55,94.0,Bom Rendimento
Rafael Arcanjo,9C,8.95,93.0,Bom Rendimento
Sofia Freitas,9A,7.83,89.6,Bom Rendimento
Tiago Nunes,9C,8.8,83.7,Bom Rendimento
