Nome,Turma,Nota1,Nota2,Nota3,Nota4,Frequencia
Ana Silva,9A,5.1,4.5,4.5,4.0,63.1
Bruno Santos,9C,8.1,7.3,7.3,7.1,82.6
Carla Oliveira,9C,7.4,10.0,9.2,7.6,91.6
Daniel Costa,9B,8.5,7.7,8.8,9.2,82.1
Eduarda Pereira,9B,9.7,8.0,9.3,9.9,85.3
Felipe Martins,9B,7.1,8.9,7.6,8.8,82.5
Gabriela Souza,9B,6.5,6.3,4.7,6.5,67.9
Henrique Rocha,9B,8.1,7.3,9.5,8.8,92.3
Isabela Lima,9A,9.1,9.0,8.9,9.0,85.9
João Ferreira,9A,9.1,9.2,9.0,7.5,87.8
Karen Alves,9C,7.5,4.6,4.1,5.9,79.7
Leonardo Ribeiro,9B,9.0,8.3,9.0,8.0,81.4
Maria Carvalho,9B,5.2,4.7,6.6,6.6,82.0
Natan Gomes,9A,6.7,6.5,5.8,6.0,81.0
Olívia Mendes,9B,7.6,8.8,8.6,8.5,89.5
Pedro Castro,9C,7.0,5.3,5.2,6.8,77.7
Queila Barbosa,9B,8.7,8.5,9.1,7.9,94.0
Rafael Arcanjo,9C,8.6,7.7,9.8,9.7,93.0
Sofia Freitas,9A,7.2,7.6,8.0,8.5,89.6
Tiago Nunes,9C,9.0,9.7,8.4,8.1,83.7
